  amax   Mstar      Mdot  Rd    Q      Md
    mm    Msun   Msun/yr  AU         Msun
=========================================
1.00e-01  0.50  1.00e-05  40  0.5  2.8757
1.00e-01  0.50  1.00e-05  40  0.4  4.5692
1.00e-01  0.50  1.00e-05  40  0.3  8.4995
1.00e-01  0.50  5.00e-05  40  0.8  1.2926
1.00e-01  0.50  5.00e-05  40  0.7  1.6622
1.00e-01  0.50  5.00e-05  40  0.6  2.1959
1.00e-01  0.50  5.00e-05  40  0.5  3.1214
1.00e-01  0.50  5.00e-05  40  0.4  4.9185
1.00e-01  0.50  5.00e-05  40  0.3  8.5140
1.00e-01  0.50  1.00e-06  40  0.8  0.9750
1.00e-01  0.50  1.00e-06  40  0.7  1.2295
1.00e-01  0.50  1.00e-06  40  0.6  1.6217
1.00e-01  0.50  1.00e-06  40  0.5  2.3309
1.00e-01  0.50  1.00e-06  40  0.4  3.6773
1.00e-01  0.50  1.00e-06  40  0.3  7.0264
5.00e-02  0.50  1.00e-04  40  0.8  1.3347
5.00e-02  0.50  1.00e-04  40  0.7  1.7167
5.00e-02  0.50  1.00e-04  40  0.6  2.2555
5.00e-02  0.50  1.00e-04  40  0.5  3.1701
5.00e-02  0.50  1.00e-04  40  0.4  4.8214
5.00e-02  0.50  1.00e-04  40  0.3  7.8483
5.00e-02  0.50  5.00e-04  40  0.8  1.3210
5.00e-02  0.50  5.00e-04  40  0.7  1.6784
5.00e-02  0.50  5.00e-04  40  0.6  2.1619
5.00e-02  0.50  5.00e-04  40  0.5  2.9379
5.00e-02  0.50  5.00e-04  40  0.4  4.0579
5.00e-02  0.50  5.00e-04  40  0.3  5.2998
5.00e-02  0.50  1.00e-05  40  0.8  1.2006
5.00e-02  0.50  1.00e-05  40  0.7  1.5145
5.00e-02  0.50  1.00e-05  40  0.6  2.0221
5.00e-02  0.50  1.00e-05  40  0.5  2.9169
5.00e-02  0.50  1.00e-05  40  0.4  4.6581
5.00e-02  0.50  1.00e-05  40  0.3  8.5638
5.00e-02  0.50  5.00e-05  40  0.8  1.3224
5.00e-02  0.50  5.00e-05  40  0.7  1.6596
5.00e-02  0.50  5.00e-05  40  0.6  2.2340
5.00e-02  0.50  5.00e-05  40  0.5  3.1530
5.00e-02  0.50  5.00e-05  40  0.4  4.9035
5.00e-02  0.50  5.00e-05  40  0.3  8.4328
5.00e-02  0.50  1.00e-06  40  0.8  0.9722
5.00e-02  0.50  1.00e-06  40  0.7  1.2396
5.00e-02  0.50  1.00e-06  40  0.6  1.6465
5.00e-02  0.50  1.00e-06  40  0.5  2.3518
5.00e-02  0.50  1.00e-06  40  0.4  3.7939
5.00e-02  0.50  1.00e-06  40  0.3  7.2553
1.00e-02  0.50  1.00e-04  40  0.8  1.3090
1.00e-02  0.50  1.00e-04  40  0.7  1.6879
1.00e-02  0.50  1.00e-04  40  0.6  2.2285
1.00e-02  0.50  1.00e-04  40  0.5  3.1682
1.00e-02  0.50  1.00e-04  40  0.4  4.5887
1.00e-02  0.50  1.00e-04  40  0.3  7.1019
1.00e-02  0.50  5.00e-04  40  0.8  1.2680
1.00e-02  0.50  5.00e-04  40  0.7  1.5775
1.00e-02  0.50  5.00e-04  40  0.6  2.0109
1.00e-02  0.50  5.00e-04  40  0.5  2.6492
1.00e-02  0.50  5.00e-04  40  0.4  3.4685
1.00e-02  0.50  5.00e-04  40  0.3  3.6933
1.00e-02  0.50  1.00e-05  40  0.8  1.1747
1.00e-02  0.50  1.00e-05  40  0.7  1.5131
1.00e-02  0.50  1.00e-05  40  0.6  2.0288
1.00e-02  0.50  1.00e-05  40  0.5  2.9564
1.00e-02  0.50  1.00e-05  40  0.4  4.7201
1.00e-02  0.50  1.00e-05  40  0.3  8.5587
1.00e-02  0.50  5.00e-05  40  0.8  1.2978
1.00e-02  0.50  5.00e-05  40  0.7  1.6684
1.00e-02  0.50  5.00e-05  40  0.6  2.2180
1.00e-02  0.50  5.00e-05  40  0.5  3.1298
1.00e-02  0.50  5.00e-05  40  0.4  4.7769
1.00e-02  0.50  5.00e-05  40  0.3  7.8358
1.00e-02  0.50  1.00e-06  40  0.8  0.9229
1.00e-02  0.50  1.00e-06  40  0.7  1.1658
1.00e-02  0.50  1.00e-06  40  0.6  1.5830
1.00e-02  0.50  1.00e-06  40  0.5  2.3078
1.00e-02  0.50  1.00e-06  40  0.4  3.8153
1.00e-02  0.50  1.00e-06  40  0.3  7.4944
